plot,subplot,date,width_end1_cm,width_mid_cm,width_end2_cm,length_m,decay_class,tag_number,initials
B01,W,7/12/2019,21.1,22.1,31.8,16.78,4,na,AS
B01,W,7/12/2019,8.2,11.7,12,4.7,2,na,AS
B01,W,7/12/2019,11.1,11.4,12.4,2.31,2,na,AS
B01,W,7/12/2019,12.6,9.5,11.3,3.03,3,na,AS
B01,W,7/12/2019,25.1,25.9,35.1,10.43,1,1625,AS
B01,W,7/12/2019,29.5,25.7,23.4,3.99,5,na,AS
B01,W,7/12/2019,30,28.6,15.3,8.7,4,na,AS
B01,W,7/12/2019,12.8,13.4,12.5,1.71,4,na,AS
B01,W,7/12/2019,13.8,12.7,6,2.5,4,na,AS
B01,W,7/12/2019,19.5,15.3,15.7,0.73,4,na,AS
C02,W,7/15/2019,17.1,15,15.1,10.82,4,na,AB
C02,W,7/15/2019,13.8,16,16.7,9.02,3,na,AB
C02,W,7/15/2019,15.2,13.1,13.2,6.57,5,na,AB
C02,W,7/15/2019,17.1,13.3,10.7,8.25,5,na,AB
C02,W,7/15/2019,11.2,12,14.6,3,4,na,AB
C02,W,7/15/2019,9.1,8.2,3.4,6.02,3,na,AB
C02,W,7/15/2019,9.3,11.7,12.4,4.52,3,na,AB
C02,W,7/15/2019,14.2,14.7,15.2,6.21,4,na,AB
C02,W,7/15/2019,18.4,18.4,12.7,9.99,3,na,AB
C02,W,7/15/2019,13,17.2,16.8,10.14,4,na,AB
C02,W,7/15/2019,12.5,13.5,14,1.31,4,na,AB
C02,W,7/15/2019,8.6,7.2,3.1,6.28,3,954,AB
C02,W,7/15/2019,13.1,11.7,12.5,1.14,3,na,AB
C02,W,7/15/2019,11,11.1,11.6,1.85,3,na,AB
C02,W,7/15/2019,16.5,15.5,15,2.97,3,na,AB
C02,W,7/15/2019,12.2,12.7,11.1,3.13,4,na,AB
C02,W,7/15/2019,10.8,10.1,9.3,1.06,4,na,AB
C02,W,7/15/2019,13.2,10,12,2.92,5,na,AB
C02,W,7/15/2019,13.6,15.6,17.9,7.43,3,na,AB
C02,W,7/15/2019,21.5,23.4,32,6.85,5,na,AB
C02,W,7/15/2019,20.6,25.5,22.6,2.14,5,na,AB
C02,W,7/15/2019,3.2,8,13.4,7.18,1,na,AB
C02,W,7/15/2019,13.1,11.6,10.1,3.64,4,na,AB
C02,W,7/15/2019,17.6,16.6,20,2.95,5,na,AB
C02,W,7/15/2019,6,9.4,8.3,5.72,4,na,AB
C02,W,7/15/2019,12.5,10.7,7.9,6.98,3,na,AB
C02,W,7/15/2019,16.7,14.2,7.2,4,5,na,AB
C02,W,7/15/2019,11.9,13.4,19.5,5.71,4,na,AB
C02,W,7/15/2019,6.7,8.7,9.3,4.71,5,na,AB
C02,W,7/15/2019,10.5,9.7,7,4.11,5,na,AB
C02,W,7/15/2019,13.5,11.6,14.5,4.83,4,na,AB
C02,W,7/15/2019,12,9,10.7,4.54,4,na,AB
C02,W,7/15/2019,11.8,10.1,11.4,3.93,3,na,AB
B04,W,7/16/2019,12.5,17.7,12.1,5.66,4,na,AB
B04,W,7/16/2019,22.4,16.4,14.5,1.37,5,na,AB
B04,W,7/16/2019,27.5,25.5,15.7,3.91,4,na,AB
B04,W,7/16/2019,16,19,17,1.42,3,na,AB
B04,W,7/16/2019,25,23.7,22,1.91,3,na,AB
B04,W,7/16/2019,10.3,9.5,11.5,1.36,3,na,AB
B04,W,7/16/2019,12.6,10.6,4.5,2.49,3,na,AB
B04,W,7/16/2019,16,24.1,32,2.87,5,na,AB
B04,W,7/16/2019,18.4,27,34.5,11.57,3,na,AB
B04,W,7/16/2019,27.7,28,31.9,5.3,5,na,AB
B04,W,7/16/2019,14.5,13.5,13.7,1.62,4,na,AB
B04,W,7/16/2019,21.5,20.7,18,5.24,3,na,AB
B04,W,7/16/2019,21.3,23.8,14,16.4,3,na,AB
B04,W,7/16/2019,18.3,11.5,11.3,1.72,3,na,AB
B04,W,7/16/2019,17,17.3,20.3,2.15,3,na,AB
B04,W,7/16/2019,16.9,14.6,13.8,1.85,3,na,AB
B04,W,7/16/2019,11,9.2,3.8,6.32,2,na,AB
B04,W,7/16/2019,28.4,15.5,18,10.36,4,na,AB
B04,W,7/16/2019,7.1,8.5,8.6,2.12,3,2175,AB
B04,W,7/16/2019,9.7,12.6,24.5,2.34,5,na,AB
B04,W,7/16/2019,12.8,14,7.6,2.19,3,na,AB
B04,W,7/16/2019,11,10,9,7.11,4,na,AB
B04,W,7/16/2019,13,27,9.1,38.4,3,na,AB
B04,W,7/16/2019,13.3,11.1,11.5,1.05,3,na,AB
B04,W,7/16/2019,11.4,12,13,1.44,3,na,AB
B04,W,7/16/2019,5.4,13,3.5,5.13,4,na,AB
B04,W,7/16/2019,25,20,10.7,7.84,4,na,AB
B04,W,7/16/2019,13.8,14,12,4.75,4,na,AB
B04,W,7/16/2019,14.3,16,31.1,9.68,4,na,AB
B04,W,7/16/2019,8,12.5,21,7.75,4,na,AB
B04,W,7/16/2019,19,19.8,20.9,4.84,2,na,AB
B04,W,7/16/2019,17,14.4,12.2,6.47,3,na,AB
B04,W,7/16/2019,13,12.8,13.4,1.55,3,na,AB
B04,W,7/16/2019,15,15.5,13.5,1.36,3,na,AB
B04,W,7/16/2019,20.3,15,16.3,2.64,4,na,AB
B04,W,7/16/2019,12,9.4,7,4.65,3,na,AB
B04,W,7/16/2019,15,15,18.3,2.21,4,na,AB
B04,W,7/16/2019,14,15,14.4,1.16,3,na,AB
B04,W,7/16/2019,14,12.7,12,1.54,3,na,AB
B04,W,7/16/2019,22.7,21,18.8,6.17,2,2234,AB
B04,W,7/16/2019,19,21.4,12.4,11.62,2,2233,AB
B04,E,7/16/2019,22.7,24,21.1,6.24,3,na,LH
B04,E,7/16/2019,2.8,9.5,18,18.49,2,na,LH
B04,E,7/16/2019,19.9,19.5,19.2,1.3,3,na,LH
B04,E,7/16/2019,10.2,16.1,17.6,2.09,3,na,LH
B04,E,7/16/2019,12.2,12.2,12.2,15.7,3,na,LH
B04,E,7/16/2019,22.3,22.7,15.2,10.25,4,na,LH
B04,E,7/16/2019,17.5,17,17.3,1.34,3,na,LH
B04,E,7/16/2019,19.6,21.7,24.8,8.14,3,na,LH
B04,E,7/16/2019,9.3,10.5,11.5,4.38,5,na,LH
B04,E,7/16/2019,24,21.3,16.9,10.81,2,na,LH
B04,E,7/16/2019,3.4,11.4,15.2,6.05,2,na,LH
B04,E,7/16/2019,9.1,16.3,19.7,13.9,3,na,LH
B04,E,7/16/2019,21.4,18.3,9.7,3.78,4,na,LH
B04,E,7/16/2019,4,23.3,41.2,29,2,na,LH
B04,E,7/16/2019,14.3,12.7,11.6,4.73,4,na,LH
B04,E,7/16/2019,19,16.9,10,8.98,3,na,LH
B04,E,7/16/2019,14,15.6,16.6,1.92,2,na,LH
B04,E,7/16/2019,15.2,13,12.1,5.26,4,na,LH
B04,E,7/16/2019,9.2,8.2,7.1,3.19,5,na,LH
B04,E,7/16/2019,15.1,10.9,5.8,8.25,4,na,LH
B04,E,7/16/2019,13.6,14.7,17.5,6.95,3,na,LH
B04,E,7/16/2019,14,13.7,14.5,2.73,5,na,LH
B04,E,7/16/2019,31.6,21.9,20.2,3.81,5,na,LH
B03,E,7/16/2019,4.6,8,9.3,4.6,3,na,AB
B03,E,7/16/2019,10,10.2,9.3,1.12,3,na,AB
B03,E,7/16/2019,11.3,10,12.9,4.37,3,na,AB
B03,E,7/16/2019,39.5,47,47.5,1.64,5,na,AB
B03,E,7/16/2019,15.3,11.6,14,4.96,4,na,AB
B03,E,7/16/2019,15,18.2,18.6,5.82,4,na,AB
B03,E,7/16/2019,10,7.5,2.5,4.47,2,na,AB
B03,E,7/16/2019,12.5,14.3,9.1,2.5,3,na,AB
B03,E,7/16/2019,13.5,13,14,2.56,3,na,AB
B03,E,7/16/2019,26.1,24,21.9,4.64,3,na,AB
B03,E,7/16/2019,17.2,17.3,18.4,2.36,3,na,AB
B03,E,7/16/2019,11.7,14,13.4,1.26,3,na,AB
B03,E,7/16/2019,9.3,9,9.7,0.87,3,na,AB
B03,E,7/16/2019,7.5,8.4,8.1,1.33,3,na,AB
B03,E,7/16/2019,22.2,20.3,21.3,10.22,4,na,AB
B03,E,7/16/2019,2.1,9.1,14.4,14.42,4,na,AB
B03,E,7/16/2019,27.9,21.9,2.6,16.59,3,na,AB
